OpenROAD autotuner-v1-2861-g832b18e7 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO PDN-0001] Inserting grid: grid
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_0__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_1__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_2__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_3__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_4__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_5__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_6__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/data_mem_7__data_mem/macro_mem/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/stat_mem.macro_mem.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - be_mmu/dcache/tag_mem.macro_mem.mem
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (13.8550, 548.9700) - (14.3350, 550.2850) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (56.1600, 434.1050) - (56.4400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (59.5200, 434.1050) - (59.8000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (62.8800, 434.1050) - (63.1600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (66.2400, 434.1050) - (66.5200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (69.6000, 434.1050) - (69.8800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (72.9600, 434.1050) - (73.2400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (76.3200, 434.1050) - (76.6000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (79.6800, 434.1050) - (79.9600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (83.0400, 434.1050) - (83.3200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (86.4000, 434.1050) - (86.6800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (89.7600, 434.1050) - (90.0400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (93.1200, 434.1050) - (93.4000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (96.4800, 434.1050) - (96.7600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (99.8400, 434.1050) - (100.1200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (103.2000, 434.1050) - (103.4800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (106.5600, 434.1050) - (106.8400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (109.9200, 434.1050) - (110.2000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (113.2800, 434.1050) - (113.5600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (116.6400, 434.1050) - (116.9200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (120.0000, 434.1050) - (120.2800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (123.3600, 434.1050) - (123.6400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (126.7200, 434.1050) - (127.0000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (130.0800, 434.1050) - (130.3600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (133.4400, 434.1050) - (133.7200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (136.8000, 434.1050) - (137.0800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (140.1600, 434.1050) - (140.4400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (143.5200, 434.1050) - (143.8000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (146.8800, 434.1050) - (147.1600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (150.2400, 434.1050) - (150.5200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (153.6000, 434.1050) - (153.8800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (156.9600, 434.1050) - (157.2400, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (160.3200, 434.1050) - (160.6000, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (163.6800, 434.1050) - (163.9600, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (167.0400, 434.1050) - (167.3200, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (170.4000, 434.1050) - (170.6800, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (195.1300, 567.5250) - (195.4100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (198.4900, 567.5250) - (198.7700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (201.8500, 567.5250) - (202.1300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (205.2100, 567.5250) - (205.4900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (208.5700, 567.5250) - (208.8500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (211.9300, 567.5250) - (212.2100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (215.2900, 567.5250) - (215.5700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (218.6500, 567.5250) - (218.9300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (222.0100, 567.5250) - (222.2900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (225.3700, 567.5250) - (225.6500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (228.7300, 567.5250) - (229.0100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (232.0900, 567.5250) - (232.3700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (235.4500, 567.5250) - (235.7300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (238.8100, 567.5250) - (239.0900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (242.1700, 567.5250) - (242.4500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (245.5300, 567.5250) - (245.8100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (248.8900, 567.5250) - (249.1700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (252.2500, 567.5250) - (252.5300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (255.6100, 567.5250) - (255.8900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (258.9700, 567.5250) - (259.2500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (262.3300, 567.5250) - (262.6100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (265.6900, 567.5250) - (265.9700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (269.0500, 567.5250) - (269.3300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (272.4100, 567.5250) - (272.6900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (275.7700, 567.5250) - (276.0500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (279.1300, 567.5250) - (279.4100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (282.4900, 567.5250) - (282.7700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (285.8500, 567.5250) - (286.1300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (289.2100, 567.5250) - (289.4900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (292.5700, 567.5250) - (292.8500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (295.9300, 567.5250) - (296.2100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (299.2900, 567.5250) - (299.5700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (302.6500, 567.5250) - (302.9300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (306.0100, 567.5250) - (306.2900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (309.3700, 567.5250) - (309.6500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (312.7300, 567.5250) - (313.0100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (316.0900, 567.5250) - (316.3700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (319.4500, 567.5250) - (319.7300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (322.8100, 567.5250) - (323.0900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (326.1700, 567.5250) - (326.4500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (329.5300, 567.5250) - (329.8100, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (332.8900, 567.5250) - (333.1700, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (336.2500, 567.5250) - (336.5300, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (339.6100, 567.5250) - (339.8900, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (342.9700, 567.5250) - (343.2500, 567.8900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (195.1300, 434.1050) - (195.4100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (198.4900, 434.1050) - (198.7700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (201.8500, 434.1050) - (202.1300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (205.2100, 434.1050) - (205.4900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (208.5700, 434.1050) - (208.8500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (211.9300, 434.1050) - (212.2100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (215.2900, 434.1050) - (215.5700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (218.6500, 434.1050) - (218.9300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (222.0100, 434.1050) - (222.2900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (225.3700, 434.1050) - (225.6500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (228.7300, 434.1050) - (229.0100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (232.0900, 434.1050) - (232.3700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (235.4500, 434.1050) - (235.7300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (238.8100, 434.1050) - (239.0900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (242.1700, 434.1050) - (242.4500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (245.5300, 434.1050) - (245.8100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (248.8900, 434.1050) - (249.1700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (252.2500, 434.1050) - (252.5300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (255.6100, 434.1050) - (255.8900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (258.9700, 434.1050) - (259.2500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (262.3300, 434.1050) - (262.6100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (265.6900, 434.1050) - (265.9700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (269.0500, 434.1050) - (269.3300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (272.4100, 434.1050) - (272.6900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (275.7700, 434.1050) - (276.0500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (279.1300, 434.1050) - (279.4100, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (282.4900, 434.1050) - (282.7700, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (285.8500, 434.1050) - (286.1300, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (289.2100, 434.1050) - (289.4900, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (292.5700, 434.1050) - (292.8500, 434.4700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (295.9300, 434.1050) - (296.2100, 434.4700) on VSS
